ingredient_name,state_name,storage_location,needs_cooking,ready_to_eat,typical_prep_minutes,typical_cook_minutes,active_minutes,passive_minutes,attention_score,energy_level,rank_penalty,holdability,handling_note,timing_note,cooking_note,verified,notes
Beef brisket,Fresh Raw,fridge,1,0,2,20,10,10,6,high,0,fair,Handle Beef brisket according to its fresh raw condition.,Account for the fresh raw timing of Beef brisket.,Cook or heat Beef brisket safely for its current condition.,1,Core component state
Beef brisket,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Beef brisket according to its frozen raw condition.,Account for the frozen raw timing of Beef brisket.,Cook or heat Beef brisket safely for its current condition.,1,Core component state
Beef brisket,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Beef brisket according to its cooked condition.,Account for the cooked timing of Beef brisket.,Cook or heat Beef brisket safely for its current condition.,1,Core component state
Corned beef,Fresh Raw,fridge,1,0,2,20,10,10,6,low,0,fair,Handle Corned beef according to its fresh raw condition.,Account for the fresh raw timing of Corned beef.,Cook or heat Corned beef safely for its current condition.,1,Core component state
Corned beef,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Corned beef according to its frozen raw condition.,Account for the frozen raw timing of Corned beef.,Cook or heat Corned beef safely for its current condition.,1,Core component state
Corned beef,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Corned beef according to its cooked condition.,Account for the cooked timing of Corned beef.,Cook or heat Corned beef safely for its current condition.,1,Core component state
Chicken thighs,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Chicken thighs according to its fresh raw condition.,Account for the fresh raw timing of Chicken thighs.,Cook or heat Chicken thighs safely for its current condition.,1,Core component state
Chicken thighs,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Chicken thighs according to its frozen raw condition.,Account for the frozen raw timing of Chicken thighs.,Cook or heat Chicken thighs safely for its current condition.,1,Core component state
Chicken thighs,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Chicken thighs according to its cooked condition.,Account for the cooked timing of Chicken thighs.,Cook or heat Chicken thighs safely for its current condition.,1,Core component state
Chicken drumsticks,Fresh Raw,fridge,1,0,2,20,10,10,6,low,0,fair,Handle Chicken drumsticks according to its fresh raw condition.,Account for the fresh raw timing of Chicken drumsticks.,Cook or heat Chicken drumsticks safely for its current condition.,1,Core component state
Chicken drumsticks,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Chicken drumsticks according to its frozen raw condition.,Account for the frozen raw timing of Chicken drumsticks.,Cook or heat Chicken drumsticks safely for its current condition.,1,Core component state
Chicken drumsticks,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Chicken drumsticks according to its cooked condition.,Account for the cooked timing of Chicken drumsticks.,Cook or heat Chicken drumsticks safely for its current condition.,1,Core component state
Chicken wings,Fresh Raw,fridge,1,0,2,20,10,10,6,low,0,fair,Handle Chicken wings according to its fresh raw condition.,Account for the fresh raw timing of Chicken wings.,Cook or heat Chicken wings safely for its current condition.,1,Core component state
Chicken wings,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Chicken wings according to its frozen raw condition.,Account for the frozen raw timing of Chicken wings.,Cook or heat Chicken wings safely for its current condition.,1,Core component state
Chicken wings,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Chicken wings according to its cooked condition.,Account for the cooked timing of Chicken wings.,Cook or heat Chicken wings safely for its current condition.,1,Core component state
Whole chicken,Fresh Raw,fridge,1,0,2,20,10,10,6,medium,0,fair,Handle Whole chicken according to its fresh raw condition.,Account for the fresh raw timing of Whole chicken.,Cook or heat Whole chicken safely for its current condition.,1,Core component state
Whole chicken,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Whole chicken according to its frozen raw condition.,Account for the frozen raw timing of Whole chicken.,Cook or heat Whole chicken safely for its current condition.,1,Core component state
Whole chicken,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Whole chicken according to its cooked condition.,Account for the cooked timing of Whole chicken.,Cook or heat Whole chicken safely for its current condition.,1,Core component state
Ground chicken,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Ground chicken according to its fresh raw condition.,Account for the fresh raw timing of Ground chicken.,Cook or heat Ground chicken safely for its current condition.,1,Core component state
Ground chicken,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Ground chicken according to its frozen raw condition.,Account for the frozen raw timing of Ground chicken.,Cook or heat Ground chicken safely for its current condition.,1,Core component state
Ground chicken,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Ground chicken according to its cooked condition.,Account for the cooked timing of Ground chicken.,Cook or heat Ground chicken safely for its current condition.,1,Core component state
Rotisserie chicken,Ready to Eat,fridge,0,1,2,3,2,0,2,very low,0,good,Handle Rotisserie chicken according to its ready to eat condition.,Account for the ready to eat timing of Rotisserie chicken.,Cook or heat Rotisserie chicken safely for its current condition.,1,Core component state
Canned chicken,Ready to Eat,fridge,0,1,2,3,2,0,2,very low,0,good,Handle Canned chicken according to its ready to eat condition.,Account for the ready to eat timing of Canned chicken.,Cook or heat Canned chicken safely for its current condition.,1,Core component state
Ground turkey,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Ground turkey according to its fresh raw condition.,Account for the fresh raw timing of Ground turkey.,Cook or heat Ground turkey safely for its current condition.,1,Core component state
Ground turkey,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Ground turkey according to its frozen raw condition.,Account for the frozen raw timing of Ground turkey.,Cook or heat Ground turkey safely for its current condition.,1,Core component state
Ground turkey,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Ground turkey according to its cooked condition.,Account for the cooked timing of Ground turkey.,Cook or heat Ground turkey safely for its current condition.,1,Core component state
Turkey breast,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Turkey breast according to its fresh raw condition.,Account for the fresh raw timing of Turkey breast.,Cook or heat Turkey breast safely for its current condition.,1,Core component state
Turkey breast,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Turkey breast according to its frozen raw condition.,Account for the frozen raw timing of Turkey breast.,Cook or heat Turkey breast safely for its current condition.,1,Core component state
Turkey breast,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Turkey breast according to its cooked condition.,Account for the cooked timing of Turkey breast.,Cook or heat Turkey breast safely for its current condition.,1,Core component state
Turkey sausage,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Turkey sausage according to its fresh raw condition.,Account for the fresh raw timing of Turkey sausage.,Cook or heat Turkey sausage safely for its current condition.,1,Core component state
Turkey sausage,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Turkey sausage according to its frozen raw condition.,Account for the frozen raw timing of Turkey sausage.,Cook or heat Turkey sausage safely for its current condition.,1,Core component state
Turkey sausage,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Turkey sausage according to its cooked condition.,Account for the cooked timing of Turkey sausage.,Cook or heat Turkey sausage safely for its current condition.,1,Core component state
Pork loin,Fresh Raw,fridge,1,0,2,12,10,2,6,medium,0,fair,Handle Pork loin according to its fresh raw condition.,Account for the fresh raw timing of Pork loin.,Cook or heat Pork loin safely for its current condition.,1,Core component state
Pork loin,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Pork loin according to its frozen raw condition.,Account for the frozen raw timing of Pork loin.,Cook or heat Pork loin safely for its current condition.,1,Core component state
Pork loin,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Pork loin according to its cooked condition.,Account for the cooked timing of Pork loin.,Cook or heat Pork loin safely for its current condition.,1,Core component state
Pork shoulder,Fresh Raw,fridge,1,0,2,20,10,10,6,high,0,fair,Handle Pork shoulder according to its fresh raw condition.,Account for the fresh raw timing of Pork shoulder.,Cook or heat Pork shoulder safely for its current condition.,1,Core component state
Pork shoulder,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Pork shoulder according to its frozen raw condition.,Account for the frozen raw timing of Pork shoulder.,Cook or heat Pork shoulder safely for its current condition.,1,Core component state
Pork shoulder,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Pork shoulder according to its cooked condition.,Account for the cooked timing of Pork shoulder.,Cook or heat Pork shoulder safely for its current condition.,1,Core component state
Pork chops,Fresh Raw,fridge,1,0,2,12,10,2,6,medium,0,fair,Handle Pork chops according to its fresh raw condition.,Account for the fresh raw timing of Pork chops.,Cook or heat Pork chops safely for its current condition.,1,Core component state
Pork chops,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Pork chops according to its frozen raw condition.,Account for the frozen raw timing of Pork chops.,Cook or heat Pork chops safely for its current condition.,1,Core component state
Pork chops,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Pork chops according to its cooked condition.,Account for the cooked timing of Pork chops.,Cook or heat Pork chops safely for its current condition.,1,Core component state
Ham,Ready to Eat,fridge,0,1,2,3,2,0,2,very low,0,good,Handle Ham according to its ready to eat condition.,Account for the ready to eat timing of Ham.,Cook or heat Ham safely for its current condition.,1,Core component state
Bacon,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Bacon according to its fresh raw condition.,Account for the fresh raw timing of Bacon.,Cook or heat Bacon safely for its current condition.,1,Core component state
Bacon,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Bacon according to its frozen raw condition.,Account for the frozen raw timing of Bacon.,Cook or heat Bacon safely for its current condition.,1,Core component state
Bacon,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Bacon according to its cooked condition.,Account for the cooked timing of Bacon.,Cook or heat Bacon safely for its current condition.,1,Core component state
Breakfast sausage,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Breakfast sausage according to its fresh raw condition.,Account for the fresh raw timing of Breakfast sausage.,Cook or heat Breakfast sausage safely for its current condition.,1,Core component state
Breakfast sausage,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Breakfast sausage according to its frozen raw condition.,Account for the frozen raw timing of Breakfast sausage.,Cook or heat Breakfast sausage safely for its current condition.,1,Core component state
Breakfast sausage,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Breakfast sausage according to its cooked condition.,Account for the cooked timing of Breakfast sausage.,Cook or heat Breakfast sausage safely for its current condition.,1,Core component state
Italian sausage,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Italian sausage according to its fresh raw condition.,Account for the fresh raw timing of Italian sausage.,Cook or heat Italian sausage safely for its current condition.,1,Core component state
Italian sausage,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Italian sausage according to its frozen raw condition.,Account for the frozen raw timing of Italian sausage.,Cook or heat Italian sausage safely for its current condition.,1,Core component state
Italian sausage,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Italian sausage according to its cooked condition.,Account for the cooked timing of Italian sausage.,Cook or heat Italian sausage safely for its current condition.,1,Core component state
Kielbasa,Ready to Eat,fridge,0,1,2,3,2,0,2,very low,0,good,Handle Kielbasa according to its ready to eat condition.,Account for the ready to eat timing of Kielbasa.,Cook or heat Kielbasa safely for its current condition.,1,Core component state
Shrimp,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Shrimp according to its fresh raw condition.,Account for the fresh raw timing of Shrimp.,Cook or heat Shrimp safely for its current condition.,1,Core component state
Shrimp,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Shrimp according to its frozen raw condition.,Account for the frozen raw timing of Shrimp.,Cook or heat Shrimp safely for its current condition.,1,Core component state
Shrimp,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Shrimp according to its cooked condition.,Account for the cooked timing of Shrimp.,Cook or heat Shrimp safely for its current condition.,1,Core component state
Cod,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Cod according to its fresh raw condition.,Account for the fresh raw timing of Cod.,Cook or heat Cod safely for its current condition.,1,Core component state
Cod,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Cod according to its frozen raw condition.,Account for the frozen raw timing of Cod.,Cook or heat Cod safely for its current condition.,1,Core component state
Cod,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Cod according to its cooked condition.,Account for the cooked timing of Cod.,Cook or heat Cod safely for its current condition.,1,Core component state
Tilapia,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Tilapia according to its fresh raw condition.,Account for the fresh raw timing of Tilapia.,Cook or heat Tilapia safely for its current condition.,1,Core component state
Tilapia,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Tilapia according to its frozen raw condition.,Account for the frozen raw timing of Tilapia.,Cook or heat Tilapia safely for its current condition.,1,Core component state
Tilapia,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Tilapia according to its cooked condition.,Account for the cooked timing of Tilapia.,Cook or heat Tilapia safely for its current condition.,1,Core component state
Salmon,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Salmon according to its fresh raw condition.,Account for the fresh raw timing of Salmon.,Cook or heat Salmon safely for its current condition.,1,Core component state
Salmon,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Salmon according to its frozen raw condition.,Account for the frozen raw timing of Salmon.,Cook or heat Salmon safely for its current condition.,1,Core component state
Salmon,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Salmon according to its cooked condition.,Account for the cooked timing of Salmon.,Cook or heat Salmon safely for its current condition.,1,Core component state
Canned tuna,Ready to Eat,fridge,0,1,2,3,2,0,2,very low,0,good,Handle Canned tuna according to its ready to eat condition.,Account for the ready to eat timing of Canned tuna.,Cook or heat Canned tuna safely for its current condition.,1,Core component state
Eggs,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Eggs according to its fresh raw condition.,Account for the fresh raw timing of Eggs.,Cook or heat Eggs safely for its current condition.,1,Core component state
Eggs,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Eggs according to its frozen raw condition.,Account for the frozen raw timing of Eggs.,Cook or heat Eggs safely for its current condition.,1,Core component state
Eggs,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Eggs according to its cooked condition.,Account for the cooked timing of Eggs.,Cook or heat Eggs safely for its current condition.,1,Core component state
Tofu,Fresh Raw,fridge,1,0,2,10,10,0,6,low,0,fair,Handle Tofu according to its fresh raw condition.,Account for the fresh raw timing of Tofu.,Cook or heat Tofu safely for its current condition.,1,Core component state
Tofu,Frozen Raw,freezer,1,0,2,25,10,15,6,high,3,fair,Handle Tofu according to its frozen raw condition.,Account for the frozen raw timing of Tofu.,Cook or heat Tofu safely for its current condition.,1,Core component state
Tofu,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Tofu according to its cooked condition.,Account for the cooked timing of Tofu.,Cook or heat Tofu safely for its current condition.,1,Core component state
Tempeh,Fresh Raw,fridge,1,0,2,10,10,0,6,low,0,fair,Handle Tempeh according to its fresh raw condition.,Account for the fresh raw timing of Tempeh.,Cook or heat Tempeh safely for its current condition.,1,Core component state
Tempeh,Frozen Raw,freezer,1,0,2,25,10,15,6,high,3,fair,Handle Tempeh according to its frozen raw condition.,Account for the frozen raw timing of Tempeh.,Cook or heat Tempeh safely for its current condition.,1,Core component state
Tempeh,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Tempeh according to its cooked condition.,Account for the cooked timing of Tempeh.,Cook or heat Tempeh safely for its current condition.,1,Core component state
Onions,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Onions appropriately.,Use Onions according to its texture and holdability.,Cook Onions in the named vessel only as long as needed.,1,Core vegetable state
Garlic,Fresh,fridge,1,0,2,2,2,0,5,low,0,fair,Wash and trim Garlic appropriately.,Use Garlic according to its texture and holdability.,Cook Garlic in the named vessel only as long as needed.,1,Core vegetable state
Carrots,Fresh,fridge,1,0,2,15,15,0,5,low,0,fair,Wash and trim Carrots appropriately.,Use Carrots according to its texture and holdability.,Cook Carrots in the named vessel only as long as needed.,1,Core vegetable state
Celery,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Celery appropriately.,Use Celery according to its texture and holdability.,Cook Celery in the named vessel only as long as needed.,1,Core vegetable state
Potatoes,Fresh,fridge,1,0,2,20,20,0,5,low,0,fair,Wash and trim Potatoes appropriately.,Use Potatoes according to its texture and holdability.,Cook Potatoes in the named vessel only as long as needed.,1,Core vegetable state
Sweet potatoes,Fresh,fridge,1,0,2,20,20,0,5,low,0,fair,Wash and trim Sweet potatoes appropriately.,Use Sweet potatoes according to its texture and holdability.,Cook Sweet potatoes in the named vessel only as long as needed.,1,Core vegetable state
Broccoli,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Broccoli appropriately.,Use Broccoli according to its texture and holdability.,Cook Broccoli in the named vessel only as long as needed.,1,Core vegetable state
Cauliflower,Fresh,fridge,1,0,2,10,10,0,5,low,0,fair,Wash and trim Cauliflower appropriately.,Use Cauliflower according to its texture and holdability.,Cook Cauliflower in the named vessel only as long as needed.,1,Core vegetable state
Cabbage,Fresh,fridge,1,0,2,15,15,0,5,low,0,fair,Wash and trim Cabbage appropriately.,Use Cabbage according to its texture and holdability.,Cook Cabbage in the named vessel only as long as needed.,1,Core vegetable state
Kale,Fresh,fridge,1,0,2,10,10,0,5,low,0,poor,Wash and trim Kale appropriately.,Use Kale according to its texture and holdability.,Cook Kale in the named vessel only as long as needed.,1,Core vegetable state
Spinach,Fresh,fridge,1,0,2,3,3,0,5,low,0,poor,Wash and trim Spinach appropriately.,Use Spinach according to its texture and holdability.,Cook Spinach in the named vessel only as long as needed.,1,Core vegetable state
Swiss chard,Fresh,fridge,1,0,2,6,6,0,5,low,0,poor,Wash and trim Swiss chard appropriately.,Use Swiss chard according to its texture and holdability.,Cook Swiss chard in the named vessel only as long as needed.,1,Core vegetable state
Lettuce,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Lettuce appropriately.,Use Lettuce according to its texture and holdability.,Cook Lettuce in the named vessel only as long as needed.,1,Core vegetable state
Romaine lettuce,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Romaine lettuce appropriately.,Use Romaine lettuce according to its texture and holdability.,Cook Romaine lettuce in the named vessel only as long as needed.,1,Core vegetable state
Iceberg lettuce,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Iceberg lettuce appropriately.,Use Iceberg lettuce according to its texture and holdability.,Cook Iceberg lettuce in the named vessel only as long as needed.,1,Core vegetable state
Green beans,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Green beans appropriately.,Use Green beans according to its texture and holdability.,Cook Green beans in the named vessel only as long as needed.,1,Core vegetable state
Peas,Fresh,fridge,1,0,2,5,5,0,5,low,0,fair,Wash and trim Peas appropriately.,Use Peas according to its texture and holdability.,Cook Peas in the named vessel only as long as needed.,1,Core vegetable state
Corn,Fresh,fridge,1,0,2,5,5,0,5,low,0,fair,Wash and trim Corn appropriately.,Use Corn according to its texture and holdability.,Cook Corn in the named vessel only as long as needed.,1,Core vegetable state
Zucchini,Fresh,fridge,1,0,2,6,6,0,5,low,0,fair,Wash and trim Zucchini appropriately.,Use Zucchini according to its texture and holdability.,Cook Zucchini in the named vessel only as long as needed.,1,Core vegetable state
Yellow squash,Fresh,fridge,1,0,2,6,6,0,5,low,0,fair,Wash and trim Yellow squash appropriately.,Use Yellow squash according to its texture and holdability.,Cook Yellow squash in the named vessel only as long as needed.,1,Core vegetable state
Butternut squash,Fresh,fridge,1,0,2,25,25,0,5,low,0,fair,Wash and trim Butternut squash appropriately.,Use Butternut squash according to its texture and holdability.,Cook Butternut squash in the named vessel only as long as needed.,1,Core vegetable state
Acorn squash,Fresh,fridge,1,0,2,30,30,0,5,low,0,fair,Wash and trim Acorn squash appropriately.,Use Acorn squash according to its texture and holdability.,Cook Acorn squash in the named vessel only as long as needed.,1,Core vegetable state
Pumpkin,Fresh,fridge,1,0,2,15,15,0,5,low,0,fair,Wash and trim Pumpkin appropriately.,Use Pumpkin according to its texture and holdability.,Cook Pumpkin in the named vessel only as long as needed.,1,Core vegetable state
Mushrooms,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Mushrooms appropriately.,Use Mushrooms according to its texture and holdability.,Cook Mushrooms in the named vessel only as long as needed.,1,Core vegetable state
Green bell pepper,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Green bell pepper appropriately.,Use Green bell pepper according to its texture and holdability.,Cook Green bell pepper in the named vessel only as long as needed.,1,Core vegetable state
Red bell pepper,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Red bell pepper appropriately.,Use Red bell pepper according to its texture and holdability.,Cook Red bell pepper in the named vessel only as long as needed.,1,Core vegetable state
Yellow bell pepper,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Yellow bell pepper appropriately.,Use Yellow bell pepper according to its texture and holdability.,Cook Yellow bell pepper in the named vessel only as long as needed.,1,Core vegetable state
Orange bell pepper,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Orange bell pepper appropriately.,Use Orange bell pepper according to its texture and holdability.,Cook Orange bell pepper in the named vessel only as long as needed.,1,Core vegetable state
Jalapenos,Fresh,fridge,1,0,2,5,5,0,5,low,0,fair,Wash and trim Jalapenos appropriately.,Use Jalapenos according to its texture and holdability.,Cook Jalapenos in the named vessel only as long as needed.,1,Core vegetable state
Poblanos,Fresh,fridge,1,0,2,10,10,0,5,low,0,fair,Wash and trim Poblanos appropriately.,Use Poblanos according to its texture and holdability.,Cook Poblanos in the named vessel only as long as needed.,1,Core vegetable state
Serranos,Fresh,fridge,1,0,2,5,5,0,5,low,0,fair,Wash and trim Serranos appropriately.,Use Serranos according to its texture and holdability.,Cook Serranos in the named vessel only as long as needed.,1,Core vegetable state
Tomatoes,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Tomatoes appropriately.,Use Tomatoes according to its texture and holdability.,Cook Tomatoes in the named vessel only as long as needed.,1,Core vegetable state
Cherry tomatoes,Fresh,fridge,1,0,2,5,5,0,5,low,0,fair,Wash and trim Cherry tomatoes appropriately.,Use Cherry tomatoes according to its texture and holdability.,Cook Cherry tomatoes in the named vessel only as long as needed.,1,Core vegetable state
Tomatillos,Fresh,fridge,1,0,2,10,10,0,5,low,0,fair,Wash and trim Tomatillos appropriately.,Use Tomatillos according to its texture and holdability.,Cook Tomatillos in the named vessel only as long as needed.,1,Core vegetable state
Cucumbers,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Cucumbers appropriately.,Use Cucumbers according to its texture and holdability.,Cook Cucumbers in the named vessel only as long as needed.,1,Core vegetable state
Radishes,Fresh,fridge,1,0,2,5,5,0,5,low,0,fair,Wash and trim Radishes appropriately.,Use Radishes according to its texture and holdability.,Cook Radishes in the named vessel only as long as needed.,1,Core vegetable state
Turnips,Fresh,fridge,1,0,2,20,20,0,5,low,0,fair,Wash and trim Turnips appropriately.,Use Turnips according to its texture and holdability.,Cook Turnips in the named vessel only as long as needed.,1,Core vegetable state
Rutabagas,Fresh,fridge,1,0,2,25,25,0,5,low,0,fair,Wash and trim Rutabagas appropriately.,Use Rutabagas according to its texture and holdability.,Cook Rutabagas in the named vessel only as long as needed.,1,Core vegetable state
