ingredient_name,role,default_state,prep_minutes,cook_minutes,active_minutes,passive_minutes,attention_score,rest_minutes,add_stage,holdability,preferred_method,desired_outcome,failure_mode,recovery_hint,teaching_note,parallel_ok,start_first,timing_note,handling_note,cooking_note,work_score,cleanup_score,mental_load_score,verified
Chicken wings,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Chicken wings that remains moist and properly textured.,"Chicken wings can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Chicken wings close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Chicken wings separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Chicken wings in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Whole chicken,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Whole chicken that remains moist and properly textured.,"Whole chicken can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Whole chicken close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Whole chicken separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Whole chicken in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Ground chicken,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Ground chicken that remains moist and properly textured.,"Ground chicken can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Ground chicken close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Ground chicken separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Ground chicken in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Rotisserie chicken,protein,Ready to Eat,2,8,8,0,6,5,middle,fair,cook,Safely cooked Rotisserie chicken that remains moist and properly textured.,"Rotisserie chicken can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Rotisserie chicken close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Rotisserie chicken separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Rotisserie chicken in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Canned chicken,protein,Ready to Eat,2,8,8,0,6,5,middle,fair,cook,Safely cooked Canned chicken that remains moist and properly textured.,"Canned chicken can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Canned chicken close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Canned chicken separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Canned chicken in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Ground turkey,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Ground turkey that remains moist and properly textured.,"Ground turkey can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Ground turkey close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Ground turkey separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Ground turkey in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Turkey breast,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Turkey breast that remains moist and properly textured.,"Turkey breast can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Turkey breast close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Turkey breast separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Turkey breast in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Turkey sausage,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Turkey sausage that remains moist and properly textured.,"Turkey sausage can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Turkey sausage close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Turkey sausage separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Turkey sausage in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Pork loin,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Pork loin that remains moist and properly textured.,"Pork loin can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Pork loin close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Pork loin separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Pork loin in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Pork shoulder,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Pork shoulder that remains moist and properly textured.,"Pork shoulder can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Pork shoulder close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Pork shoulder separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Pork shoulder in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Pork chops,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Pork chops that remains moist and properly textured.,"Pork chops can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Pork chops close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Pork chops separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Pork chops in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Ham,protein,Ready to Eat,2,8,8,0,6,5,middle,fair,cook,Safely cooked Ham that remains moist and properly textured.,"Ham can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Ham close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Ham separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Ham in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Bacon,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Bacon that remains moist and properly textured.,"Bacon can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Bacon close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Bacon separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Bacon in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Breakfast sausage,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Breakfast sausage that remains moist and properly textured.,"Breakfast sausage can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Breakfast sausage close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Breakfast sausage separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Breakfast sausage in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Italian sausage,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Italian sausage that remains moist and properly textured.,"Italian sausage can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Italian sausage close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Italian sausage separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Italian sausage in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Kielbasa,protein,Ready to Eat,2,8,8,0,6,5,middle,fair,cook,Safely cooked Kielbasa that remains moist and properly textured.,"Kielbasa can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Kielbasa close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Kielbasa separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Kielbasa in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Shrimp,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Shrimp that remains moist and properly textured.,"Shrimp can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Shrimp close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Shrimp separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Shrimp in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Cod,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Cod that remains moist and properly textured.,"Cod can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Cod close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Cod separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Cod in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Tilapia,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Tilapia that remains moist and properly textured.,"Tilapia can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Tilapia close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Tilapia separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Tilapia in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Salmon,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Salmon that remains moist and properly textured.,"Salmon can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Salmon close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Salmon separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Salmon in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Canned tuna,protein,Ready to Eat,2,8,8,0,6,5,middle,fair,cook,Safely cooked Canned tuna that remains moist and properly textured.,"Canned tuna can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Canned tuna close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Canned tuna separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Canned tuna in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Eggs,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Eggs that remains moist and properly textured.,"Eggs can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Eggs close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Eggs separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Eggs in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Tofu,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Tofu that remains moist and properly textured.,"Tofu can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Tofu close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Tofu separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Tofu in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Tempeh,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Tempeh that remains moist and properly textured.,"Tempeh can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Tempeh close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Tempeh separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Tempeh in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Onions,vegetable,,2,8,8,0,5,0,middle,fair,saute,Onions cooked safely with an appropriate texture.,Onions may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Onions near service because it changes texture quickly.,Prepare Onions in even pieces so it cooks consistently.,"Heat oil in a skillet, add Onions, and sauté until properly tender.",5,3,5,1
Garlic,vegetable,,2,2,2,0,5,0,middle,fair,saute,Garlic cooked safely with an appropriate texture.,Garlic may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Garlic near service because it changes texture quickly.,Prepare Garlic in even pieces so it cooks consistently.,"Heat oil in a skillet, add Garlic, and sauté until properly tender.",5,3,5,1
Carrots,vegetable,,2,15,5,10,3,0,early,good,cook,Carrots cooked safely with an appropriate texture.,Carrots may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Carrots early; its longer cooking window can overlap other work.,Prepare Carrots in even pieces so it cooks consistently.,Cook Carrots in a covered pot or roasting pan until evenly tender.,3,3,3,1
Celery,vegetable,,2,8,8,0,5,0,middle,fair,saute,Celery cooked safely with an appropriate texture.,Celery may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Celery near service because it changes texture quickly.,Prepare Celery in even pieces so it cooks consistently.,"Heat oil in a skillet, add Celery, and sauté until properly tender.",5,3,5,1
Potatoes,vegetable,,2,20,5,15,3,0,early,good,cook,Potatoes cooked safely with an appropriate texture.,Potatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Potatoes early; its longer cooking window can overlap other work.,Prepare Potatoes in even pieces so it cooks consistently.,Cook Potatoes in a covered pot or roasting pan until evenly tender.,3,3,3,1
Sweet potatoes,vegetable,,2,20,5,15,3,0,early,good,cook,Sweet potatoes cooked safely with an appropriate texture.,Sweet potatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Sweet potatoes early; its longer cooking window can overlap other work.,Prepare Sweet potatoes in even pieces so it cooks consistently.,Cook Sweet potatoes in a covered pot or roasting pan until evenly tender.,3,3,3,1
Broccoli,vegetable,,2,8,5,3,3,0,early,good,cook,Broccoli cooked safely with an appropriate texture.,Broccoli may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Broccoli early; its longer cooking window can overlap other work.,Prepare Broccoli in even pieces so it cooks consistently.,Cook Broccoli in a covered pot or roasting pan until evenly tender.,3,3,3,1
Cauliflower,vegetable,,2,10,5,5,3,0,early,good,cook,Cauliflower cooked safely with an appropriate texture.,Cauliflower may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Cauliflower early; its longer cooking window can overlap other work.,Prepare Cauliflower in even pieces so it cooks consistently.,Cook Cauliflower in a covered pot or roasting pan until evenly tender.,3,3,3,1
Cabbage,vegetable,,2,15,5,10,3,0,early,good,cook,Cabbage cooked safely with an appropriate texture.,Cabbage may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Cabbage early; its longer cooking window can overlap other work.,Prepare Cabbage in even pieces so it cooks consistently.,Cook Cabbage in a covered pot or roasting pan until evenly tender.,3,3,3,1
Kale,vegetable,,2,10,10,0,5,0,late,poor,saute,Kale cooked safely with an appropriate texture.,Kale may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Kale near service because it changes texture quickly.,Prepare Kale in even pieces so it cooks consistently.,"Heat oil in a skillet, add Kale, and sauté until properly tender.",5,3,5,1
Spinach,vegetable,,2,3,3,0,5,0,late,poor,saute,Spinach cooked safely with an appropriate texture.,Spinach may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Spinach near service because it changes texture quickly.,Prepare Spinach in even pieces so it cooks consistently.,"Heat oil in a skillet, add Spinach, and sauté until properly tender.",5,3,5,1
Lettuce,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Lettuce.",Lettuce may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Lettuce near service.,Prepare Lettuce in even pieces so it cooks consistently.,Keep Lettuce crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Romaine lettuce,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Romaine lettuce.",Romaine lettuce may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Romaine lettuce near service.,Prepare Romaine lettuce in even pieces so it cooks consistently.,Keep Romaine lettuce crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Iceberg lettuce,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Iceberg lettuce.",Iceberg lettuce may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Iceberg lettuce near service.,Prepare Iceberg lettuce in even pieces so it cooks consistently.,Keep Iceberg lettuce crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Green beans,vegetable,,2,8,8,0,5,0,middle,fair,saute,Green beans cooked safely with an appropriate texture.,Green beans may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Green beans near service because it changes texture quickly.,Prepare Green beans in even pieces so it cooks consistently.,"Heat oil in a skillet, add Green beans, and sauté until properly tender.",5,3,5,1
Peas,vegetable,,2,5,5,0,5,0,middle,fair,saute,Peas cooked safely with an appropriate texture.,Peas may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Peas near service because it changes texture quickly.,Prepare Peas in even pieces so it cooks consistently.,"Heat oil in a skillet, add Peas, and sauté until properly tender.",5,3,5,1
Corn,vegetable,,2,5,5,0,5,0,middle,fair,saute,Corn cooked safely with an appropriate texture.,Corn may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Corn near service because it changes texture quickly.,Prepare Corn in even pieces so it cooks consistently.,"Heat oil in a skillet, add Corn, and sauté until properly tender.",5,3,5,1
Zucchini,vegetable,,2,6,6,0,5,0,middle,fair,saute,Zucchini cooked safely with an appropriate texture.,Zucchini may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Zucchini near service because it changes texture quickly.,Prepare Zucchini in even pieces so it cooks consistently.,"Heat oil in a skillet, add Zucchini, and sauté until properly tender.",5,3,5,1
Yellow squash,vegetable,,2,6,6,0,5,0,middle,fair,saute,Yellow squash cooked safely with an appropriate texture.,Yellow squash may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Yellow squash near service because it changes texture quickly.,Prepare Yellow squash in even pieces so it cooks consistently.,"Heat oil in a skillet, add Yellow squash, and sauté until properly tender.",5,3,5,1
