ingredient_name,role,state_name,sequence,activity_type,instruction,minutes,human_busy,attention_load,equipment_name,stage,parallel_ok,depends_on_sequence,verified
Ground beef,protein,Cooked,2,reheat,Reheat Ground beef gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Beef stew meat,protein,Fresh Raw,1,prep,"Prep Beef stew meat: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Beef stew meat,protein,Fresh Raw,2,cook,Cook Beef stew meat in a covered pot until the thickest part reaches 205°F.,20,1,0.5,burner,middle,0,1,1
Beef stew meat,protein,Fresh Raw,3,rest,Rest Beef stew meat before slicing or serving.,5,0,0,counter,finish,1,2,1
Beef stew meat,protein,Frozen Raw,1,prep,Prep Beef stew meat: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Beef stew meat,protein,Frozen Raw,2,cook,Begin cooking Beef stew meat in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Beef stew meat,protein,Frozen Raw,3,wait,Continue cooking Beef stew meat without constant attention.,20,0,0,burner,middle,1,2,1
Beef stew meat,protein,Frozen Raw,4,verify,Verify Beef stew meat until the thickest part reaches 205°F.,2,1,1,counter,finish,0,3,1
Beef stew meat,protein,Frozen Raw,5,rest,Rest Beef stew meat before slicing or serving.,5,0,0,counter,finish,1,4,1
Beef stew meat,protein,Cooked,1,prep,"Prep Beef stew meat: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Beef stew meat,protein,Cooked,2,reheat,Reheat Beef stew meat gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Chuck roast,protein,Fresh Raw,1,prep,"Prep Chuck roast: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Chuck roast,protein,Fresh Raw,2,cook,Cook Chuck roast in a covered pot until the thickest part reaches 205°F.,20,1,0.5,burner,middle,0,1,1
Chuck roast,protein,Fresh Raw,3,rest,Rest Chuck roast before slicing or serving.,5,0,0,counter,finish,1,2,1
Chuck roast,protein,Frozen Raw,1,prep,Prep Chuck roast: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Chuck roast,protein,Frozen Raw,2,cook,Begin cooking Chuck roast in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Chuck roast,protein,Frozen Raw,3,wait,Continue cooking Chuck roast without constant attention.,20,0,0,burner,middle,1,2,1
Chuck roast,protein,Frozen Raw,4,verify,Verify Chuck roast until the thickest part reaches 205°F.,2,1,1,counter,finish,0,3,1
Chuck roast,protein,Frozen Raw,5,rest,Rest Chuck roast before slicing or serving.,5,0,0,counter,finish,1,4,1
Chuck roast,protein,Cooked,1,prep,"Prep Chuck roast: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Chuck roast,protein,Cooked,2,reheat,Reheat Chuck roast gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Sirloin steak,protein,Fresh Raw,1,prep,"Prep Sirloin steak: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Sirloin steak,protein,Fresh Raw,2,cook,Cook Sirloin steak in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Sirloin steak,protein,Fresh Raw,3,rest,Rest Sirloin steak before slicing or serving.,5,0,0,counter,finish,1,2,1
Sirloin steak,protein,Frozen Raw,1,prep,Prep Sirloin steak: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Sirloin steak,protein,Frozen Raw,2,cook,Begin cooking Sirloin steak in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Sirloin steak,protein,Frozen Raw,3,wait,Continue cooking Sirloin steak without constant attention.,12,0,0,burner,middle,1,2,1
Sirloin steak,protein,Frozen Raw,4,verify,Verify Sirloin steak until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Sirloin steak,protein,Frozen Raw,5,rest,Rest Sirloin steak before slicing or serving.,5,0,0,counter,finish,1,4,1
Sirloin steak,protein,Cooked,1,prep,"Prep Sirloin steak: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Sirloin steak,protein,Cooked,2,reheat,Reheat Sirloin steak gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Ribeye steak,protein,Fresh Raw,1,prep,"Prep Ribeye steak: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Ribeye steak,protein,Fresh Raw,2,cook,Cook Ribeye steak in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Ribeye steak,protein,Fresh Raw,3,rest,Rest Ribeye steak before slicing or serving.,5,0,0,counter,finish,1,2,1
Ribeye steak,protein,Frozen Raw,1,prep,Prep Ribeye steak: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Ribeye steak,protein,Frozen Raw,2,cook,Begin cooking Ribeye steak in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Ribeye steak,protein,Frozen Raw,3,wait,Continue cooking Ribeye steak without constant attention.,12,0,0,burner,middle,1,2,1
Ribeye steak,protein,Frozen Raw,4,verify,Verify Ribeye steak until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Ribeye steak,protein,Frozen Raw,5,rest,Rest Ribeye steak before slicing or serving.,5,0,0,counter,finish,1,4,1
Ribeye steak,protein,Cooked,1,prep,"Prep Ribeye steak: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Ribeye steak,protein,Cooked,2,reheat,Reheat Ribeye steak gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Flank steak,protein,Fresh Raw,1,prep,"Prep Flank steak: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Flank steak,protein,Fresh Raw,2,cook,Cook Flank steak in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Flank steak,protein,Fresh Raw,3,rest,Rest Flank steak before slicing or serving.,5,0,0,counter,finish,1,2,1
Flank steak,protein,Frozen Raw,1,prep,Prep Flank steak: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Flank steak,protein,Frozen Raw,2,cook,Begin cooking Flank steak in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Flank steak,protein,Frozen Raw,3,wait,Continue cooking Flank steak without constant attention.,12,0,0,burner,middle,1,2,1
Flank steak,protein,Frozen Raw,4,verify,Verify Flank steak until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Flank steak,protein,Frozen Raw,5,rest,Rest Flank steak before slicing or serving.,5,0,0,counter,finish,1,4,1
Flank steak,protein,Cooked,1,prep,"Prep Flank steak: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Flank steak,protein,Cooked,2,reheat,Reheat Flank steak gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Beef brisket,protein,Fresh Raw,1,prep,"Prep Beef brisket: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Beef brisket,protein,Fresh Raw,2,cook,Cook Beef brisket in a covered pot until the thickest part reaches 205°F.,20,1,0.5,burner,middle,0,1,1
Beef brisket,protein,Fresh Raw,3,rest,Rest Beef brisket before slicing or serving.,5,0,0,counter,finish,1,2,1
Beef brisket,protein,Frozen Raw,1,prep,Prep Beef brisket: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Beef brisket,protein,Frozen Raw,2,cook,Begin cooking Beef brisket in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Beef brisket,protein,Frozen Raw,3,wait,Continue cooking Beef brisket without constant attention.,20,0,0,burner,middle,1,2,1
Beef brisket,protein,Frozen Raw,4,verify,Verify Beef brisket until the thickest part reaches 205°F.,2,1,1,counter,finish,0,3,1
Beef brisket,protein,Frozen Raw,5,rest,Rest Beef brisket before slicing or serving.,5,0,0,counter,finish,1,4,1
Beef brisket,protein,Cooked,1,prep,"Prep Beef brisket: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Beef brisket,protein,Cooked,2,reheat,Reheat Beef brisket gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Corned beef,protein,Fresh Raw,1,prep,"Prep Corned beef: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Corned beef,protein,Fresh Raw,2,cook,Cook Corned beef in a covered pot until the thickest part reaches 165°F.,20,1,0.5,burner,middle,0,1,1
Corned beef,protein,Fresh Raw,3,rest,Rest Corned beef before slicing or serving.,5,0,0,counter,finish,1,2,1
Corned beef,protein,Frozen Raw,1,prep,Prep Corned beef: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Corned beef,protein,Frozen Raw,2,cook,Begin cooking Corned beef in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Corned beef,protein,Frozen Raw,3,wait,Continue cooking Corned beef without constant attention.,20,0,0,burner,middle,1,2,1
Corned beef,protein,Frozen Raw,4,verify,Verify Corned beef until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Corned beef,protein,Frozen Raw,5,rest,Rest Corned beef before slicing or serving.,5,0,0,counter,finish,1,4,1
Corned beef,protein,Cooked,1,prep,"Prep Corned beef: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Corned beef,protein,Cooked,2,reheat,Reheat Corned beef gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Chicken thighs,protein,Fresh Raw,1,prep,"Prep Chicken thighs: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Chicken thighs,protein,Fresh Raw,2,cook,Cook Chicken thighs in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Chicken thighs,protein,Fresh Raw,3,rest,Rest Chicken thighs before slicing or serving.,5,0,0,counter,finish,1,2,1
Chicken thighs,protein,Frozen Raw,1,prep,Prep Chicken thighs: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Chicken thighs,protein,Frozen Raw,2,cook,Begin cooking Chicken thighs in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Chicken thighs,protein,Frozen Raw,3,wait,Continue cooking Chicken thighs without constant attention.,12,0,0,burner,middle,1,2,1
Chicken thighs,protein,Frozen Raw,4,verify,Verify Chicken thighs until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Chicken thighs,protein,Frozen Raw,5,rest,Rest Chicken thighs before slicing or serving.,5,0,0,counter,finish,1,4,1
Chicken thighs,protein,Cooked,1,prep,"Prep Chicken thighs: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Chicken thighs,protein,Cooked,2,reheat,Reheat Chicken thighs gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Chicken drumsticks,protein,Fresh Raw,1,prep,"Prep Chicken drumsticks: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Chicken drumsticks,protein,Fresh Raw,2,cook,Cook Chicken drumsticks in a roasting pan until the thickest part reaches 165°F.,20,1,0.5,oven,middle,0,1,1
Chicken drumsticks,protein,Fresh Raw,3,rest,Rest Chicken drumsticks before slicing or serving.,5,0,0,counter,finish,1,2,1
Chicken drumsticks,protein,Frozen Raw,1,prep,Prep Chicken drumsticks: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Chicken drumsticks,protein,Frozen Raw,2,cook,Begin cooking Chicken drumsticks in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Chicken drumsticks,protein,Frozen Raw,3,wait,Continue cooking Chicken drumsticks without constant attention.,20,0,0,burner,middle,1,2,1
Chicken drumsticks,protein,Frozen Raw,4,verify,Verify Chicken drumsticks until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Chicken drumsticks,protein,Frozen Raw,5,rest,Rest Chicken drumsticks before slicing or serving.,5,0,0,counter,finish,1,4,1
Chicken drumsticks,protein,Cooked,1,prep,"Prep Chicken drumsticks: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Chicken drumsticks,protein,Cooked,2,reheat,Reheat Chicken drumsticks gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Chicken wings,protein,Fresh Raw,1,prep,"Prep Chicken wings: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Chicken wings,protein,Fresh Raw,2,cook,Cook Chicken wings in a roasting pan until the thickest part reaches 165°F.,20,1,0.5,oven,middle,0,1,1
Chicken wings,protein,Fresh Raw,3,rest,Rest Chicken wings before slicing or serving.,5,0,0,counter,finish,1,2,1
Chicken wings,protein,Frozen Raw,1,prep,Prep Chicken wings: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Chicken wings,protein,Frozen Raw,2,cook,Begin cooking Chicken wings in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Chicken wings,protein,Frozen Raw,3,wait,Continue cooking Chicken wings without constant attention.,20,0,0,burner,middle,1,2,1
Chicken wings,protein,Frozen Raw,4,verify,Verify Chicken wings until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Chicken wings,protein,Frozen Raw,5,rest,Rest Chicken wings before slicing or serving.,5,0,0,counter,finish,1,4,1
Chicken wings,protein,Cooked,1,prep,"Prep Chicken wings: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Chicken wings,protein,Cooked,2,reheat,Reheat Chicken wings gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Whole chicken,protein,Fresh Raw,1,prep,"Prep Whole chicken: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Whole chicken,protein,Fresh Raw,2,cook,Cook Whole chicken in a roasting pan until the thickest part reaches 165°F.,20,1,0.5,oven,middle,0,1,1
Whole chicken,protein,Fresh Raw,3,rest,Rest Whole chicken before slicing or serving.,5,0,0,counter,finish,1,2,1
Whole chicken,protein,Frozen Raw,1,prep,Prep Whole chicken: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Whole chicken,protein,Frozen Raw,2,cook,Begin cooking Whole chicken in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Whole chicken,protein,Frozen Raw,3,wait,Continue cooking Whole chicken without constant attention.,20,0,0,burner,middle,1,2,1
Whole chicken,protein,Frozen Raw,4,verify,Verify Whole chicken until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Whole chicken,protein,Frozen Raw,5,rest,Rest Whole chicken before slicing or serving.,5,0,0,counter,finish,1,4,1
Whole chicken,protein,Cooked,1,prep,"Prep Whole chicken: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Whole chicken,protein,Cooked,2,reheat,Reheat Whole chicken gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Ground chicken,protein,Fresh Raw,1,prep,"Prep Ground chicken: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Ground chicken,protein,Fresh Raw,2,cook,Cook Ground chicken in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Ground chicken,protein,Fresh Raw,3,rest,Rest Ground chicken before slicing or serving.,5,0,0,counter,finish,1,2,1
Ground chicken,protein,Frozen Raw,1,prep,Prep Ground chicken: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Ground chicken,protein,Frozen Raw,2,cook,Begin cooking Ground chicken in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Ground chicken,protein,Frozen Raw,3,wait,Continue cooking Ground chicken without constant attention.,12,0,0,burner,middle,1,2,1
Ground chicken,protein,Frozen Raw,4,verify,Verify Ground chicken until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Ground chicken,protein,Frozen Raw,5,rest,Rest Ground chicken before slicing or serving.,5,0,0,counter,finish,1,4,1
Ground chicken,protein,Cooked,1,prep,"Prep Ground chicken: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Ground chicken,protein,Cooked,2,reheat,Reheat Ground chicken gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Rotisserie chicken,protein,,1,prep,"Prep Rotisserie chicken: drain, shred, slice, or portion it as needed.",2,1,1,counter,late,1,,1
Rotisserie chicken,protein,,2,warm,Warm Rotisserie chicken gently in a skillet or saucepan only until hot.,8,1,0.4,burner,late,1,1,1
Canned chicken,protein,,1,prep,"Prep Canned chicken: drain, shred, slice, or portion it as needed.",2,1,1,counter,late,1,,1
Canned chicken,protein,,2,warm,Warm Canned chicken gently in a skillet or saucepan only until hot.,8,1,0.4,burner,late,1,1,1
Ground turkey,protein,Fresh Raw,1,prep,"Prep Ground turkey: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Ground turkey,protein,Fresh Raw,2,cook,Cook Ground turkey in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Ground turkey,protein,Fresh Raw,3,rest,Rest Ground turkey before slicing or serving.,5,0,0,counter,finish,1,2,1
Ground turkey,protein,Frozen Raw,1,prep,Prep Ground turkey: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Ground turkey,protein,Frozen Raw,2,cook,Begin cooking Ground turkey in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Ground turkey,protein,Frozen Raw,3,wait,Continue cooking Ground turkey without constant attention.,12,0,0,burner,middle,1,2,1
Ground turkey,protein,Frozen Raw,4,verify,Verify Ground turkey until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Ground turkey,protein,Frozen Raw,5,rest,Rest Ground turkey before slicing or serving.,5,0,0,counter,finish,1,4,1
Ground turkey,protein,Cooked,1,prep,"Prep Ground turkey: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Ground turkey,protein,Cooked,2,reheat,Reheat Ground turkey gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Turkey breast,protein,Fresh Raw,1,prep,"Prep Turkey breast: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Turkey breast,protein,Fresh Raw,2,cook,Cook Turkey breast in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Turkey breast,protein,Fresh Raw,3,rest,Rest Turkey breast before slicing or serving.,5,0,0,counter,finish,1,2,1
Turkey breast,protein,Frozen Raw,1,prep,Prep Turkey breast: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Turkey breast,protein,Frozen Raw,2,cook,Begin cooking Turkey breast in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Turkey breast,protein,Frozen Raw,3,wait,Continue cooking Turkey breast without constant attention.,12,0,0,burner,middle,1,2,1
Turkey breast,protein,Frozen Raw,4,verify,Verify Turkey breast until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Turkey breast,protein,Frozen Raw,5,rest,Rest Turkey breast before slicing or serving.,5,0,0,counter,finish,1,4,1
Turkey breast,protein,Cooked,1,prep,"Prep Turkey breast: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Turkey breast,protein,Cooked,2,reheat,Reheat Turkey breast gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Turkey sausage,protein,Fresh Raw,1,prep,"Prep Turkey sausage: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Turkey sausage,protein,Fresh Raw,2,cook,Cook Turkey sausage in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Turkey sausage,protein,Fresh Raw,3,rest,Rest Turkey sausage before slicing or serving.,5,0,0,counter,finish,1,2,1
Turkey sausage,protein,Frozen Raw,1,prep,Prep Turkey sausage: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Turkey sausage,protein,Frozen Raw,2,cook,Begin cooking Turkey sausage in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Turkey sausage,protein,Frozen Raw,3,wait,Continue cooking Turkey sausage without constant attention.,12,0,0,burner,middle,1,2,1
Turkey sausage,protein,Frozen Raw,4,verify,Verify Turkey sausage until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Turkey sausage,protein,Frozen Raw,5,rest,Rest Turkey sausage before slicing or serving.,5,0,0,counter,finish,1,4,1
Turkey sausage,protein,Cooked,1,prep,"Prep Turkey sausage: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Turkey sausage,protein,Cooked,2,reheat,Reheat Turkey sausage gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Pork loin,protein,Fresh Raw,1,prep,"Prep Pork loin: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Pork loin,protein,Fresh Raw,2,cook,Cook Pork loin in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Pork loin,protein,Fresh Raw,3,rest,Rest Pork loin before slicing or serving.,5,0,0,counter,finish,1,2,1
Pork loin,protein,Frozen Raw,1,prep,Prep Pork loin: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Pork loin,protein,Frozen Raw,2,cook,Begin cooking Pork loin in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Pork loin,protein,Frozen Raw,3,wait,Continue cooking Pork loin without constant attention.,12,0,0,burner,middle,1,2,1
Pork loin,protein,Frozen Raw,4,verify,Verify Pork loin until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Pork loin,protein,Frozen Raw,5,rest,Rest Pork loin before slicing or serving.,5,0,0,counter,finish,1,4,1
Pork loin,protein,Cooked,1,prep,"Prep Pork loin: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Pork loin,protein,Cooked,2,reheat,Reheat Pork loin gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Pork shoulder,protein,Fresh Raw,1,prep,"Prep Pork shoulder: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Pork shoulder,protein,Fresh Raw,2,cook,Cook Pork shoulder in a covered pot until the thickest part reaches 205°F.,20,1,0.5,burner,middle,0,1,1
Pork shoulder,protein,Fresh Raw,3,rest,Rest Pork shoulder before slicing or serving.,5,0,0,counter,finish,1,2,1
Pork shoulder,protein,Frozen Raw,1,prep,Prep Pork shoulder: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Pork shoulder,protein,Frozen Raw,2,cook,Begin cooking Pork shoulder in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Pork shoulder,protein,Frozen Raw,3,wait,Continue cooking Pork shoulder without constant attention.,20,0,0,burner,middle,1,2,1
Pork shoulder,protein,Frozen Raw,4,verify,Verify Pork shoulder until the thickest part reaches 205°F.,2,1,1,counter,finish,0,3,1
Pork shoulder,protein,Frozen Raw,5,rest,Rest Pork shoulder before slicing or serving.,5,0,0,counter,finish,1,4,1
